id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_bulan,nama_bulan,jumlah_ritasi_sampah,satuan,tahun
1,32,JAWA BARAT,3204,KABUPATEN BANDUNG,7,JULI,568,RIT,2016
2,32,JAWA BARAT,3204,KABUPATEN BANDUNG,8,AGUSTUS,1334,RIT,2016
3,32,JAWA BARAT,3204,KABUPATEN BANDUNG,9,SEPTEMBER,1220,RIT,2016
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10,OKTOBER,1272,RIT,2016
5,32,JAWA BARAT,3204,KABUPATEN BANDUNG,11,NOVEMBER,1216,RIT,2016
6,32,JAWA BARAT,3204,KABUPATEN BANDUNG,12,DESEMBER,1246,RIT,2016
7,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1,JANUARI,1022,RIT,2016
8,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2,FEBRUARI,915,RIT,2016
9,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3,MARET,985,RIT,2016
10,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,4,APRIL,937,RIT,2016
11,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5,MEI,936,RIT,2016
12,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6,JUNI,993,RIT,2016
13,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7,JULI,914,RIT,2016
14,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8,AGUSTUS,1011,RIT,2016
15,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9,SEPTEMBER,919,RIT,2016
16,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,10,OKTOBER,967,RIT,2016
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11,NOVEMBER,977,RIT,2016
18,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,12,DESEMBER,1019,RIT,2016
19,32,JAWA BARAT,3273,KOTA BANDUNG,1,JANUARI,6555,RIT,2016
20,32,JAWA BARAT,3273,KOTA BANDUNG,2,FEBRUARI,6207,RIT,2016
21,32,JAWA BARAT,3273,KOTA BANDUNG,3,MARET,6296,RIT,2016
22,32,JAWA BARAT,3273,KOTA BANDUNG,4,APRIL,5957,RIT,2016
23,32,JAWA BARAT,3273,KOTA BANDUNG,5,MEI,5937,RIT,2016
24,32,JAWA BARAT,3273,KOTA BANDUNG,6,JUNI,6662,RIT,2016
25,32,JAWA BARAT,3273,KOTA BANDUNG,7,JULI,6419,RIT,2016
26,32,JAWA BARAT,3273,KOTA BANDUNG,8,AGUSTUS,6649,RIT,2016
27,32,JAWA BARAT,3273,KOTA BANDUNG,9,SEPTEMBER,6239,RIT,2016
28,32,JAWA BARAT,3273,KOTA BANDUNG,10,OKTOBER,6505,RIT,2016
29,32,JAWA BARAT,3273,KOTA BANDUNG,11,NOVEMBER,6441,RIT,2016
30,32,JAWA BARAT,3273,KOTA BANDUNG,12,DESEMBER,6856,RIT,2016
31,32,JAWA BARAT,3277,KOTA CIMAHI,1,JANUARI,1611,RIT,2016
32,32,JAWA BARAT,3277,KOTA CIMAHI,2,FEBRUARI,1541,RIT,2016
33,32,JAWA BARAT,3277,KOTA CIMAHI,3,MARET,1716,RIT,2016
34,32,JAWA BARAT,3277,KOTA CIMAHI,4,APRIL,1526,RIT,2016
35,32,JAWA BARAT,3277,KOTA CIMAHI,5,MEI,1629,RIT,2016
36,32,JAWA BARAT,3277,KOTA CIMAHI,6,JUNI,1639,RIT,2016
37,32,JAWA BARAT,3277,KOTA CIMAHI,7,JULI,1562,RIT,2016
38,32,JAWA BARAT,3277,KOTA CIMAHI,8,AGUSTUS,1690,RIT,2016
39,32,JAWA BARAT,3277,KOTA CIMAHI,9,SEPTEMBER,1578,RIT,2016
40,32,JAWA BARAT,3277,KOTA CIMAHI,10,OKTOBER,1354,RIT,2016
41,32,JAWA BARAT,3277,KOTA CIMAHI,11,NOVEMBER,1504,RIT,2016
42,32,JAWA BARAT,3277,KOTA CIMAHI,12,DESEMBER,1613,RIT,2016
43,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1,JANUARI,1280,RIT,2017
44,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2,FEBRUARI,1195,RIT,2017
45,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3,MARET,1470,RIT,2017
46,32,JAWA BARAT,3204,KABUPATEN BANDUNG,4,APRIL,1235,RIT,2017
47,32,JAWA BARAT,3204,KABUPATEN BANDUNG,5,MEI,1463,RIT,2017
48,32,JAWA BARAT,3204,KABUPATEN BANDUNG,6,JUNI,1243,RIT,2017
49,32,JAWA BARAT,3204,KABUPATEN BANDUNG,7,JULI,1473,RIT,2017
50,32,JAWA BARAT,3204,KABUPATEN BANDUNG,8,AGUSTUS,1594,RIT,2017
51,32,JAWA BARAT,3204,KABUPATEN BANDUNG,9,SEPTEMBER,1348,RIT,2017
52,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10,OKTOBER,1483,RIT,2017
53,32,JAWA BARAT,3204,KABUPATEN BANDUNG,11,NOVEMBER,1488,RIT,2017
54,32,JAWA BARAT,3204,KABUPATEN BANDUNG,12,DESEMBER,1534,RIT,2017
55,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1,JANUARI,1123,RIT,2017
56,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2,FEBRUARI,976,RIT,2017
57,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3,MARET,1189,RIT,2017
58,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,4,APRIL,1169,RIT,2017
59,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5,MEI,1136,RIT,2017
60,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6,JUNI,1031,RIT,2017
61,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7,JULI,1170,RIT,2017
62,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8,AGUSTUS,1177,RIT,2017
63,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9,SEPTEMBER,1087,RIT,2017
64,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,10,OKTOBER,1125,RIT,2017
65,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11,NOVEMBER,1074,RIT,2017
66,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,12,DESEMBER,1102,RIT,2017
67,32,JAWA BARAT,3273,KOTA BANDUNG,1,JANUARI,6901,RIT,2017
68,32,JAWA BARAT,3273,KOTA BANDUNG,2,FEBRUARI,6065,RIT,2017
69,32,JAWA BARAT,3273,KOTA BANDUNG,3,MARET,6653,RIT,2017
70,32,JAWA BARAT,3273,KOTA BANDUNG,4,APRIL,6264,RIT,2017
71,32,JAWA BARAT,3273,KOTA BANDUNG,5,MEI,6761,RIT,2017
72,32,JAWA BARAT,3273,KOTA BANDUNG,6,JUNI,6598,RIT,2017
73,32,JAWA BARAT,3273,KOTA BANDUNG,7,JULI,7271,RIT,2017
74,32,JAWA BARAT,3273,KOTA BANDUNG,8,AGUSTUS,7355,RIT,2017
75,32,JAWA BARAT,3273,KOTA BANDUNG,9,SEPTEMBER,7161,RIT,2017
76,32,JAWA BARAT,3273,KOTA BANDUNG,10,OKTOBER,7472,RIT,2017
77,32,JAWA BARAT,3273,KOTA BANDUNG,11,NOVEMBER,7201,RIT,2017
78,32,JAWA BARAT,3273,KOTA BANDUNG,12,DESEMBER,7371,RIT,2017
79,32,JAWA BARAT,3277,KOTA CIMAHI,1,JANUARI,1590,RIT,2017
80,32,JAWA BARAT,3277,KOTA CIMAHI,2,FEBRUARI,1455,RIT,2017
81,32,JAWA BARAT,3277,KOTA CIMAHI,3,MARET,1608,RIT,2017
82,32,JAWA BARAT,3277,KOTA CIMAHI,4,APRIL,1572,RIT,2017
83,32,JAWA BARAT,3277,KOTA CIMAHI,5,MEI,1582,RIT,2017
84,32,JAWA BARAT,3277,KOTA CIMAHI,6,JUNI,1533,RIT,2017
85,32,JAWA BARAT,3277,KOTA CIMAHI,7,JULI,1728,RIT,2017
86,32,JAWA BARAT,3277,KOTA CIMAHI,8,AGUSTUS,1595,RIT,2017
87,32,JAWA BARAT,3277,KOTA CIMAHI,9,SEPTEMBER,1585,RIT,2017
88,32,JAWA BARAT,3277,KOTA CIMAHI,10,OKTOBER,1690,RIT,2017
89,32,JAWA BARAT,3277,KOTA CIMAHI,11,NOVEMBER,1511,RIT,2017
90,32,JAWA BARAT,3277,KOTA CIMAHI,12,DESEMBER,1711,RIT,2017
91,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1,JANUARI,1571,RIT,2018
92,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2,FEBRUARI,1521,RIT,2018
93,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3,MARET,1686,RIT,2018
94,32,JAWA BARAT,3204,KABUPATEN BANDUNG,4,APRIL,1563,RIT,2018
95,32,JAWA BARAT,3204,KABUPATEN BANDUNG,5,MEI,1695,RIT,2018
96,32,JAWA BARAT,3204,KABUPATEN BANDUNG,6,JUNI,1421,RIT,2018
97,32,JAWA BARAT,3204,KABUPATEN BANDUNG,7,JULI,1819,RIT,2018
98,32,JAWA BARAT,3204,KABUPATEN BANDUNG,8,AGUSTUS,1551,RIT,2018
99,32,JAWA BARAT,3204,KABUPATEN BANDUNG,9,SEPTEMBER,1446,RIT,2018
100,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10,OKTOBER,1584,RIT,2018
101,32,JAWA BARAT,3204,KABUPATEN BANDUNG,11,NOVEMBER,1469,RIT,2018
102,32,JAWA BARAT,3204,KABUPATEN BANDUNG,12,DESEMBER,1537,RIT,2018
103,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1,JANUARI,1192,RIT,2018
104,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2,FEBRUARI,1150,RIT,2018
105,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3,MARET,1253,RIT,2018
106,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,4,APRIL,1164,RIT,2018
107,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5,MEI,1220,RIT,2018
108,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6,JUNI,1068,RIT,2018
109,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7,JULI,1219,RIT,2018
110,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8,AGUSTUS,1250,RIT,2018
111,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9,SEPTEMBER,1131,RIT,2018
112,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,10,OKTOBER,1189,RIT,2018
113,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11,NOVEMBER,1309,RIT,2018
114,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,12,DESEMBER,1347,RIT,2018
115,32,JAWA BARAT,3273,KOTA BANDUNG,1,JANUARI,7588,RIT,2018
116,32,JAWA BARAT,3273,KOTA BANDUNG,2,FEBRUARI,7086,RIT,2018
117,32,JAWA BARAT,3273,KOTA BANDUNG,3,MARET,7687,RIT,2018
118,32,JAWA BARAT,3273,KOTA BANDUNG,4,APRIL,7571,RIT,2018
119,32,JAWA BARAT,3273,KOTA BANDUNG,5,MEI,7859,RIT,2018
120,32,JAWA BARAT,3273,KOTA BANDUNG,6,JUNI,7402,RIT,2018
121,32,JAWA BARAT,3273,KOTA BANDUNG,7,JULI,8168,RIT,2018
122,32,JAWA BARAT,3273,KOTA BANDUNG,8,AGUSTUS,8118,RIT,2018
123,32,JAWA BARAT,3273,KOTA BANDUNG,9,SEPTEMBER,7915,RIT,2018
124,32,JAWA BARAT,3273,KOTA BANDUNG,10,OKTOBER,8304,RIT,2018
125,32,JAWA BARAT,3273,KOTA BANDUNG,11,NOVEMBER,7942,RIT,2018
126,32,JAWA BARAT,3273,KOTA BANDUNG,12,DESEMBER,8297,RIT,2018
127,32,JAWA BARAT,3277,KOTA CIMAHI,1,JANUARI,1713,RIT,2018
128,32,JAWA BARAT,3277,KOTA CIMAHI,2,FEBRUARI,1541,RIT,2018
129,32,JAWA BARAT,3277,KOTA CIMAHI,3,MARET,1602,RIT,2018
130,32,JAWA BARAT,3277,KOTA CIMAHI,4,APRIL,1560,RIT,2018
131,32,JAWA BARAT,3277,KOTA CIMAHI,5,MEI,1683,RIT,2018
132,32,JAWA BARAT,3277,KOTA CIMAHI,6,JUNI,1477,RIT,2018
133,32,JAWA BARAT,3277,KOTA CIMAHI,7,JULI,1675,RIT,2018
134,32,JAWA BARAT,3277,KOTA CIMAHI,8,AGUSTUS,1654,RIT,2018
135,32,JAWA BARAT,3277,KOTA CIMAHI,9,SEPTEMBER,1640,RIT,2018
136,32,JAWA BARAT,3277,KOTA CIMAHI,10,OKTOBER,1714,RIT,2018
137,32,JAWA BARAT,3277,KOTA CIMAHI,11,NOVEMBER,1637,RIT,2018
138,32,JAWA BARAT,3277,KOTA CIMAHI,12,DESEMBER,1673,RIT,2018
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1,JANUARI,1657,RIT,2019
140,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2,FEBRUARI,1587,RIT,2019
141,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3,MARET,1746,RIT,2019
142,32,JAWA BARAT,3204,KABUPATEN BANDUNG,4,APRIL,1636,RIT,2019
143,32,JAWA BARAT,3204,KABUPATEN BANDUNG,5,MEI,2053,RIT,2019
144,32,JAWA BARAT,3204,KABUPATEN BANDUNG,6,JUNI,1575,RIT,2019
145,32,JAWA BARAT,3204,KABUPATEN BANDUNG,7,JULI,1991,RIT,2019
146,32,JAWA BARAT,3204,KABUPATEN BANDUNG,8,AGUSTUS,1915,RIT,2019
147,32,JAWA BARAT,3204,KABUPATEN BANDUNG,9,SEPTEMBER,1853,RIT,2019
148,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10,OKTOBER,1909,RIT,2019
149,32,JAWA BARAT,3204,KABUPATEN BANDUNG,11,NOVEMBER,1875,RIT,2019
150,32,JAWA BARAT,3204,KABUPATEN BANDUNG,12,DESEMBER,1913,RIT,2019
151,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1,JANUARI,1323,RIT,2019
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2,FEBRUARI,1338,RIT,2019
153,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3,MARET,1270,RIT,2019
154,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,4,APRIL,1238,RIT,2019
155,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5,MEI,1296,RIT,2019
156,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6,JUNI,1160,RIT,2019
157,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7,JULI,1297,RIT,2019
158,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8,AGUSTUS,1302,RIT,2019
159,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9,SEPTEMBER,1209,RIT,2019
160,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,10,OKTOBER,1324,RIT,2019
161,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11,NOVEMBER,1234,RIT,2019
162,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,12,DESEMBER,1237,RIT,2019
163,32,JAWA BARAT,3273,KOTA BANDUNG,1,JANUARI,8404,RIT,2019
164,32,JAWA BARAT,3273,KOTA BANDUNG,2,FEBRUARI,7425,RIT,2019
165,32,JAWA BARAT,3273,KOTA BANDUNG,3,MARET,8187,RIT,2019
166,32,JAWA BARAT,3273,KOTA BANDUNG,4,APRIL,7672,RIT,2019
167,32,JAWA BARAT,3273,KOTA BANDUNG,5,MEI,8167,RIT,2019
168,32,JAWA BARAT,3273,KOTA BANDUNG,6,JUNI,7708,RIT,2019
169,32,JAWA BARAT,3273,KOTA BANDUNG,7,JULI,8522,RIT,2019
170,32,JAWA BARAT,3273,KOTA BANDUNG,8,AGUSTUS,8249,RIT,2019
171,32,JAWA BARAT,3273,KOTA BANDUNG,9,SEPTEMBER,8168,RIT,2019
172,32,JAWA BARAT,3273,KOTA BANDUNG,10,OKTOBER,8610,RIT,2019
173,32,JAWA BARAT,3273,KOTA BANDUNG,11,NOVEMBER,8242,RIT,2019
174,32,JAWA BARAT,3273,KOTA BANDUNG,12,DESEMBER,8447,RIT,2019
175,32,JAWA BARAT,3277,KOTA CIMAHI,1,JANUARI,1738,RIT,2019
176,32,JAWA BARAT,3277,KOTA CIMAHI,2,FEBRUARI,1441,RIT,2019
